noise_sigma,method,runtime_ms,edge_density,density_change_percent
0.0,Sobel,1852.6203999936115,0.036874285714285714,0.0
0.0,Canny,1854.4454999937443,0.017214285714285713,0.0
0.0,LoG,1892.1032000071136,0.0708,0.0
0.0,DoG,1838.564599995152,0.09666,0.0
5.0,Sobel,1833.1900000048336,0.9785514285714285,2553.7501937083525
5.0,Canny,1852.5794000015594,0.01754285714285714,1.908713692946055
5.0,LoG,1925.0617999932729,0.07274,2.7401129943502784
5.0,DoG,1829.4343000015942,0.09766285714285715,1.0375099760574722
15.0,Sobel,1844.0498999989359,0.9959428571428571,2600.9143034247636
15.0,Canny,1859.7853000101168,0.017548571428571427,1.941908713692945
15.0,LoG,1895.093100014492,0.07574285714285714,6.981436642453584
15.0,DoG,1997.8006000019377,0.09924571428571428,2.675061334279214
25.0,Sobel,2084.806099999696,0.9977228571428571,2605.7415155741514
25.0,Canny,2144.15760000702,0.017645714285714285,2.5062240663900464
25.0,LoG,2116.151300011552,0.09028285714285714,27.51815980629539
25.0,DoG,1992.535700002918,0.10687714285714285,10.570187106499954
40.0,Sobel,1878.1721999985166,0.9981657142857143,2606.9425073609173
40.0,Canny,1883.2234000001336,0.08743714285714285,407.9336099585062
40.0,LoG,1897.8579999966314,0.13759428571428572,94.34221146085554
40.0,DoG,1971.3277999981074,0.13410857142857144,38.742573379444906
